Home Team,Away Team,Done
Stade de Reims,Stade Brestois 29,N
Stade Rennais FC,Montpellier Hérault SC,N
AS Saint-Etienne,Girondins de Bordeaux,N
RC Strasbourg Alsace,Paris Saint-Germain,N
Amiens SC,Angers SCO,N
Girondins de Bordeaux,Stade Rennais FC,N
Stade Brestois 29,LOSC,N
Olympique Lyonnais,Stade de Reims,N
AS Monaco,AS Saint-Etienne,N
Montpellier Hérault SC,Olympique de Marseille,N
FC Nantes,Nîmes Olympique,N
Paris Saint-Germain,OGC Nice,N
RC Strasbourg Alsace,Dijon FCO,N
Toulouse FC,FC Metz,N
Angers SCO,Toulouse FC,N
Dijon FCO,Amiens SC,N
LOSC,AS Monaco,N
FC Metz,Stade Brestois 29,N
OGC Nice,Montpellier Hérault SC,N
Nîmes Olympique,Girondins de Bordeaux,N
Stade de Reims,FC Nantes,N
Stade Rennais FC,Olympique Lyonnais,N
AS Saint-Etienne,RC Strasbourg Alsace,N
Olympique de Marseille,Paris Saint-Germain,N
Amiens SC,Stade Rennais FC,N
Girondins de Bordeaux,Stade de Reims,N
Stade Brestois 29,Olympique de Marseille,N
Dijon FCO,OGC Nice,N
Olympique Lyonnais,Nîmes Olympique,N
AS Monaco,FC Nantes,N
Montpellier Hérault SC,LOSC,N
Paris Saint-Germain,FC Metz,N
RC Strasbourg Alsace,Angers SCO,N
Toulouse FC,AS Saint-Etienne,N
Angers SCO,Paris Saint-Germain,N
Girondins de Bordeaux,Amiens SC,N
Stade Brestois 29,AS Monaco,N
Olympique de Marseille,Dijon FCO,N
FC Metz,LOSC,N
FC Nantes,Olympique Lyonnais,N
OGC Nice,RC Strasbourg Alsace,N
Nîmes Olympique,Montpellier Hérault SC,N
Stade de Reims,Toulouse FC,N
AS Saint-Etienne,Stade Rennais FC,N
Amiens SC,Nîmes Olympique,N
Dijon FCO,Angers SCO,N
LOSC,OGC Nice,N
AS Monaco,Girondins de Bordeaux,N
Montpellier Hérault SC,Stade de Reims,N
Paris Saint-Germain,AS Saint-Etienne,N
Stade Rennais FC,FC Metz,N
RC Strasbourg Alsace,Stade Brestois 29,N
Toulouse FC,FC Nantes,N
Olympique Lyonnais,Olympique de Marseille,N
Girondins de Bordeaux,Toulouse FC,N
Stade Brestois 29,Montpellier Hérault SC,N
Olympique Lyonnais,AS Monaco,N
Olympique de Marseille,OGC Nice,N
FC Metz,Dijon FCO,N
FC Nantes,Amiens SC,N
Nîmes Olympique,LOSC,N
Stade de Reims,Paris Saint-Germain,N
Stade Rennais FC,RC Strasbourg Alsace,N
AS Saint-Etienne,Angers SCO,N
Amiens SC,AS Saint-Etienne,N
Angers SCO,Stade Rennais FC,N
Dijon FCO,Olympique Lyonnais,N
LOSC,Stade de Reims,N
AS Monaco,FC Metz,N
Montpellier Hérault SC,Girondins de Bordeaux,N
OGC Nice,FC Nantes,N
Paris Saint-Germain,Stade Brestois 29,N
RC Strasbourg Alsace,Olympique de Marseille,N
Toulouse FC,Nîmes Olympique,N
Girondins de Bordeaux,Angers SCO,N
Olympique Lyonnais,Montpellier Hérault SC,N
Olympique de Marseille,AS Monaco,N
FC Metz,OGC Nice,N
FC Nantes,Stade Brestois 29,N
Nîmes Olympique,RC Strasbourg Alsace,N
Stade de Reims,Amiens SC,N
Stade Rennais FC,Dijon FCO,N
AS Saint-Etienne,LOSC,N
Toulouse FC,Paris Saint-Germain,N
Angers SCO,Olympique Lyonnais,N
Stade Brestois 29,Nîmes Olympique,N
Dijon FCO,Stade de Reims,N
LOSC,Amiens SC,N
Olympique de Marseille,FC Metz,N
AS Monaco,Toulouse FC,N
Montpellier Hérault SC,FC Nantes,N
OGC Nice,AS Saint-Etienne,N
Paris Saint-Germain,Stade Rennais FC,N
RC Strasbourg Alsace,Girondins de Bordeaux,N
Amiens SC,OGC Nice,N
Girondins de Bordeaux,LOSC,N
Olympique Lyonnais,Stade Brestois 29,N
FC Metz,Angers SCO,N
FC Nantes,RC Strasbourg Alsace,N
Nîmes Olympique,Paris Saint-Germain,N
Stade de Reims,Olympique de Marseille,N
Stade Rennais FC,AS Monaco,N
AS Saint-Etienne,Dijon FCO,N
Toulouse FC,Montpellier Hérault SC,N
