Year,HomeTeam,AwayTeam,FTR,1H,1D,1A,2H,2D,2A,3H,3D,3A,4H,4D,4A,5H,5D,5A,6H,6D,6A
12,Montpellier,Toulouse,D,1.83,3.4,4.5,1.78,3.4,4.6,1.78,3.4,4.6,1.8,3.25,4.2,1.73,3.2,4.5,1.89,3.36,5.02
12,Evian Thonon Gaillard,Bordeaux,A,2.75,3.2,2.6,2.8,3.1,2.55,2.8,3.1,2.55,2.8,3.1,2.4,2.5,3.2,2.5,2.93,3.25,2.66
12,Nancy,Brest,H,2.1,3.2,3.6,2.15,3,3.7,2.15,3,3.7,2,3.15,3.5,2.1,3,3.4,2.16,3.21,3.99
12,Nice,Ajaccio,A,1.91,3.25,4.33,1.9,3.25,4.25,1.9,3.25,4.25,2,3.15,3.5,1.83,3.2,3.75,1.97,3.32,4.62
12,Paris SG,Lorient,D,1.33,4.75,10,1.3,4.75,10.5,1.3,4.75,10.5,1.37,4.25,7.5,1.33,4,8,1.36,5.13,10.67
12,Rennes,Lyon,A,2.5,3,3,2.55,3.1,2.8,2.55,3.1,2.8,2.6,3.1,2.6,2.5,3,2.62,2.54,3.29,3.06
12,Sochaux,Bastia,A,2.2,3.2,3.4,2.25,3.1,3.3,2.25,3.1,3.3,2.2,3.1,3.1,2,3,3.4,2.39,3.19,3.38
12,St Etienne,Lille,A,3,3,2.5,3.1,3.1,2.35,3.1,3.1,2.35,2.8,3.1,2.4,3.1,3,2.2,3.07,3.17,2.61
12,Troyes,Valenciennes,A,2.4,3.1,3.1,2.45,3,3,2.45,3,3,2.3,3,3,2.38,3,2.88,2.6,3.08,3.17
12,Reims,Marseille,A,3.5,3.1,2.2,3.6,3.2,2.1,3.6,3.2,2.1,3.4,3.2,2,3.5,3,2,3.61,3.26,2.27
12,Lille,Nancy,D,1.44,4,8,1.44,4.2,7.25,1.44,4.2,7.25,1.45,3.9,6.5,1.4,4.33,8.5,1.48,4.3,8.94
12,Bastia,Reims,H,1.7,3.5,5.25,1.7,3.4,5.25,1.7,3.4,5.25,1.8,3.3,4.2,1.67,3.1,5,1.72,3.66,5.97
12,Brest,Evian Thonon Gaillard,H,2.38,3,3.2,2.35,3,3.2,2.35,3,3.2,2.25,3.1,3,2.25,2.8,3.1,2.55,3.1,3.27
12,Lorient,Montpellier,H,2.7,3,2.75,2.8,3.2,2.65,2.8,3.2,2.65,2.62,3.05,2.6,2.6,3,2.5,2.8,3.11,2.93
12,Lyon,Troyes,H,1.44,4.2,7.5,1.44,4.1,7.5,1.44,4.1,7.5,1.35,4.5,7.3,1.4,3.8,7,1.45,4.66,8.67
12,Toulouse,St Etienne,H,2.15,3,3.75,2.15,3.1,3.5,2.15,3.1,3.5,2.1,3.1,3.3,2.1,2.8,3.4,2.22,3.08,3.99
12,Valenciennes,Nice,D,1.91,3.25,4.33,1.9,3.2,4.33,1.9,3.2,4.33,1.9,3.3,3.7,1.91,3,3.8,1.99,3.32,4.62
12,Ajaccio,Paris SG,D,6,3.6,1.62,6.25,3.9,1.53,6.25,3.9,1.53,4.4,3.5,1.7,5,3.25,1.62,6.55,3.83,1.65
12,Bordeaux,Rennes,H,2.1,3.1,3.75,2.1,3.1,4,2.1,3.1,4,2,3.2,3.4,2,3,3.5,2.1,3.28,4.14
12,Marseille,Sochaux,H,1.44,4,8,1.48,3.9,7.25,1.48,3.9,7.25,1.5,3.8,5.7,1.5,3.5,6,1.48,4.42,8.38
12,Evian Thonon Gaillard,Lyon,D,3.6,3.2,2.1,3.6,3.25,2.05,3.6,3.25,2.05,3.2,3.2,2.1,3.5,3.3,2.05,3.8,3.32,2.17
12,Nancy,Toulouse,A,2.38,3.1,3.1,2.35,3,3.2,2.35,3,3.2,2.4,3.1,2.75,2.3,3.1,3.25,2.44,3.08,3.45
12,Nice,Lille,D,4,3.2,2,3.9,3.3,2.05,3.9,3.3,2.05,3.2,3.2,2.1,3.5,3.1,2.2,3.95,3.15,2.2
12,Reims,Sochaux,H,2.15,3.2,3.5,2.15,3.1,3.5,2.15,3.1,3.5,2.2,3.1,3.1,2.25,3.2,3.25,2.15,3.23,3.91
12,Rennes,Bastia,H,1.83,3.4,4.5,1.78,3.4,5,1.78,3.4,5,1.77,3.4,4.25,1.8,3.25,5,1.92,3.43,4.8
12,Troyes,Lorient,D,2.6,3,2.9,2.7,3,2.75,2.7,3,2.75,2.62,3,2.62,2.75,3.1,2.62,2.75,3.12,2.92
12,Valenciennes,Ajaccio,H,1.83,3.25,4.75,1.85,3.25,4.5,1.85,3.25,4.5,1.85,3.4,3.8,1.83,3.25,4.5,1.88,3.39,5.05
12,Montpellier,Marseille,A,2.3,3.1,3.2,2.35,3.1,3.3,2.35,3.1,3.3,2.45,3.1,2.7,2.4,3.1,2.9,2.38,3.21,3.4
12,Paris SG,Bordeaux,D,1.57,3.6,6.5,1.6,3.6,6,1.6,3.6,6,1.7,3.5,4.4,1.57,3.5,6,1.59,3.94,6.93
12,St Etienne,Brest,H,1.7,3.5,5.25,1.65,3.4,6,1.65,3.4,6,1.75,3.4,4.3,1.73,3.25,5,1.66,3.65,6.66
12,Ajaccio,Evian Thonon Gaillard,H,2.4,3.2,3,2.25,3.1,3.3,2.25,3.1,3.3,2.3,3.1,2.85,2.4,2.9,2.75,2.41,3.16,3.41
12,Bastia,St Etienne,A,2.4,3.1,3.1,2.4,3.2,3.1,2.4,3.2,3.1,2.4,3.1,2.8,2.2,3,3,2.45,3.2,3.28
12,Brest,Troyes,H,2.15,3,3.75,2.1,3,3.8,2.1,3,3.8,2,3.1,3.5,1.95,2.9,3.75,2.24,3.08,3.94
12,Lorient,Nancy,H,2,3.2,4,2.05,3.1,3.8,2.05,3.1,3.8,2,3.1,3.5,2,3,3.5,2.07,3.21,4.35
12,Lyon,Valenciennes,H,1.62,3.75,5.5,1.6,3.75,5.5,1.6,3.75,5.5,1.5,3.8,5.7,1.57,3.5,5,1.65,3.91,6.14
12,Sochaux,Montpellier,A,3.6,3.1,2.15,3.5,3.25,2.2,3.5,3.25,2.2,2.8,3.1,2.4,3,3,2.2,3.85,3.21,2.19
12,Toulouse,Reims,D,1.67,3.5,5.5,1.67,3.4,5.75,1.67,3.4,5.75,1.72,3.4,4.5,1.67,3.1,5,1.7,3.59,6.34
12,Bordeaux,Nice,D,1.62,3.6,6,1.62,3.5,6,1.62,3.5,6,1.6,3.6,5,1.62,3.1,5.5,1.66,3.64,6.75
12,Lille,Paris SG,A,2.7,3.25,2.6,2.7,3.4,2.6,2.7,3.4,2.6,2.5,3.05,2.7,2.3,3.1,2.75,2.87,3.35,2.6
12,Marseille,Rennes,H,1.91,3.25,4.2,1.9,3.25,4.2,1.9,3.25,4.2,1.8,3.25,4.25,1.91,3,3.75,1.99,3.31,4.54
12,Paris SG,Toulouse,H,1.4,4.2,9,1.42,4.2,7.75,1.42,4.2,7.75,1.45,3.9,6.5,1.44,4.33,7,1.46,4.48,8.58
12,Reims,Montpellier,H,3.4,3,2.3,3.3,3.1,2.35,3.3,3.1,2.35,2.8,3.1,2.35,3.2,3.1,2.25,3.62,3.14,2.32
12,Evian Thonon Gaillard,Bastia,H,2.3,3.2,3.2,2.2,3.25,3.25,2.2,3.25,3.25,2.1,3.1,3.3,2.25,3.1,2.88,2.39,3.3,3.28
12,Nice,Brest,H,2,3.2,4,2,3.1,4,2,3.1,4,2,3.1,3.5,2,2.88,3.75,2.07,3.2,4.35
12,St Etienne,Sochaux,A,1.5,3.8,7.5,1.53,3.75,6.75,1.53,3.75,6.75,1.6,3.6,5,1.5,3.75,5.5,1.52,4.01,8.57
12,Troyes,Lille,D,4,3.2,2,4.1,3.3,1.91,4.1,3.3,1.91,3.4,3.2,2,3.6,3.4,2.05,4.15,3.4,2.04
12,Valenciennes,Bordeaux,D,2.63,3,2.88,2.65,3.1,2.9,2.65,3.1,2.9,2.6,3,2.6,2.62,3,2.75,2.69,3.06,3.06
12,Lyon,Ajaccio,H,1.44,4.2,7.5,1.4,4.25,8.25,1.4,4.25,8.25,1.35,4.5,7.3,1.33,4.5,7.5,1.45,4.53,8.85
12,Nancy,Marseille,A,3.4,3.1,2.25,3.3,3.1,2.25,3.3,3.1,2.25,3.25,3.15,2.1,3.5,3.1,2.2,3.56,3.17,2.33
12,Rennes,Lorient,A,1.83,3.25,4.75,1.83,3.5,4.6,1.83,3.5,4.6,1.8,3.3,4.2,1.83,3.4,4.5,1.85,3.42,5.17
12,Montpellier,St Etienne,D,2,3.2,4,2.2,3.3,3.5,2.2,3.3,3.5,2.15,3.1,3.2,2.2,3.2,3.4,2.15,3.25,3.98
12,Bastia,Paris SG,A,5.25,3.6,1.67,4.75,3.8,1.67,4.75,3.8,1.67,4.6,3.5,1.65,5,3.6,1.7,5.46,3.99,1.69
12,Brest,Valenciennes,H,2.7,3,2.75,2.75,3.1,2.85,2.75,3.1,2.85,2.5,3.05,2.7,2.62,3,2.75,2.81,3.07,2.87
12,Lorient,Nice,D,1.91,3.3,4.2,1.87,3.3,4.33,1.87,3.3,4.33,1.9,3.2,3.8,1.83,3.4,4.5,1.91,3.39,4.83
12,Reims,Nancy,H,2.3,3,3.4,2.4,3,3.1,2.4,3,3.1,2.3,3.1,2.9,2.25,3,3.4,2.46,3.12,3.32
12,Sochaux,Troyes,H,2.2,3.2,3.4,2.2,3.1,3.4,2.2,3.1,3.4,2.2,3.1,3.1,2.2,3.2,3.4,2.34,3.26,3.43
12,Toulouse,Rennes,D,2.1,3.25,3.6,2.1,3.1,3.7,2.1,3.1,3.7,2.1,3.15,3.25,2.1,3.2,3.6,2.25,3.14,3.75
12,Bordeaux,Ajaccio,D,1.57,3.4,7.5,1.57,3.7,6.25,1.57,3.7,6.25,1.5,3.8,5.7,1.53,3.75,7,1.55,4.03,7.63
12,Lille,Lyon,D,2.1,3.3,3.5,2.2,3.3,3.5,2.2,3.3,3.5,2.2,3.2,3,2.25,3.3,3.1,2.28,3.39,3.49
12,Marseille,Evian Thonon Gaillard,H,1.4,4.5,8,1.4,4.2,8.5,1.4,4.2,8.5,1.4,4.1,7,1.4,4.33,9,1.42,4.6,9.5
12,Rennes,Lille,H,2.5,3.1,2.9,2.6,3.1,2.75,2.6,3.1,2.75,2.6,3.1,2.6,2.8,3.1,2.6,2.58,3.18,3.13
12,Ajaccio,Brest,H,1.91,3.2,4.33,1.9,3.1,4.5,1.9,3.1,4.5,2,3.2,3.4,1.91,3.25,4.33,1.96,3.2,4.93
12,Evian Thonon Gaillard,Lorient,D,2.5,3.1,2.9,2.5,3.1,2.85,2.5,3.1,2.85,2.5,3.1,2.7,2.5,3,3,2.63,3.15,3.05
12,Nancy,Montpellier,A,3.2,3,2.4,3.1,3.1,2.55,3.1,3.1,2.55,2.5,3.1,2.7,3.2,3.1,2.3,3.26,3.11,2.52
12,Nice,Bastia,D,2.2,3,3.6,2.15,3.2,3.4,2.15,3.2,3.4,2,3.15,3.45,2.2,3.2,3.4,2.24,3.23,3.72
12,Paris SG,Sochaux,H,1.2,6,15,1.2,5.75,15.5,1.2,5.75,15.5,1.25,5,10,1.2,6,15,1.24,6.61,15.52
12,Troyes,Toulouse,A,3,3,2.5,3.2,3.1,2.3,3.2,3.1,2.3,2.7,3.1,2.5,3.2,3,2.38,3.23,3.17,2.5
12,Lyon,Bordeaux,A,2,3.2,4,2.05,3.3,4,2.05,3.3,4,1.9,3.3,3.7,1.95,3.25,4,2.06,3.31,4.21
12,St Etienne,Reims,D,1.62,3.6,6,1.65,3.6,5.25,1.65,3.6,5.25,1.65,3.5,4.6,1.67,3.6,5,1.6,3.84,7.02
12,Valenciennes,Marseille,H,3.3,3.1,2.3,3.5,3.2,2.25,3.5,3.2,2.25,3.1,3.1,2.2,3.5,3.1,2.2,3.48,3.12,2.39
12,St Etienne,Nancy,H,1.62,3.5,6.5,1.7,3.6,5.75,1.7,3.6,5.75,1.6,3.6,5.6,1.62,3.5,6,1.65,3.7,6.79
12,Bastia,Troyes,H,1.75,3.4,5,1.72,3.6,4.75,1.72,3.6,4.75,1.75,3.4,4.65,1.75,3.4,5,1.75,3.67,5.48
12,Lille,Ajaccio,H,1.4,4.33,8.5,1.44,4.4,8.5,1.44,4.4,8.5,1.43,4,7.65,1.44,4,8,1.47,4.48,8.05
12,Montpellier,Evian Thonon Gaillard,A,1.67,3.5,5.5,1.7,3.4,5.25,1.7,3.4,5.25,1.75,3.4,4.65,1.62,3.5,6,1.69,3.64,6.29
12,Reims,Nice,H,2.2,3.1,3.5,2.15,3.1,3.5,2.15,3.1,3.5,2.2,3.15,3.25,2.05,3.2,3.75,2.37,3.14,3.5
12,Sochaux,Rennes,A,3.1,3.1,2.38,2.95,3.1,2.45,2.95,3.1,2.45,2.9,3.2,2.35,2.88,3.1,2.5,3.23,3.16,2.51
