Year,HomeTeam,AwayTeam,FTR,1H,1D,1A,2H,2D,2A,3H,3D,3A,4H,4D,4A,5H,5D,5A,6H,6D,6A
16,Bastia,Paris SG,A,13,4.75,1.29,11,5,1.33,7.5,4.3,1.4,10,5,1.3,11.39,5.14,1.36,10,4.75,1.33
16,Monaco,Guingamp,D,1.62,3.8,5.25,1.65,3.75,5.5,1.7,3.4,5,1.65,3.6,5.75,1.68,3.81,6.11,1.67,3.6,5.5
16,Bordeaux,St Etienne,H,2.5,3.1,3.1,2.4,3,3.1,2.4,3.15,2.9,2.4,2.9,3.2,2.52,3.06,3.29,2.5,3,3.1
16,Caen,Lorient,H,2.2,3.25,3.5,2.1,3.2,3.5,2.1,3.15,3.45,2.1,3.25,3.5,2.19,3.38,3.66,2.2,3.1,3.5
16,Dijon,Nantes,A,2.5,3.1,3.1,2.45,3,3,2.6,3.1,2.7,2.4,3,3.1,2.56,3.09,3.21,2.62,2.9,3
16,Metz,Lille,H,3.4,3.2,2.2,3.3,3,2.3,3.3,3.1,2.2,3.4,3,2.3,3.65,3.07,2.35,3.4,3,2.3
16,Montpellier,Angers,H,2.1,3.1,4,2.05,3.1,3.9,2,3.2,3.75,2.05,3,4,2.09,3.17,4.32,2.1,3,4
16,Marseille,Toulouse,D,2,3.3,4,2,3.25,3.8,2.1,3.15,3.45,2,3.2,4,2.03,3.37,4.22,2,3.2,4
16,Nancy,Lyon,A,3.5,3.3,2.15,3.3,3.2,2.2,3.45,3.15,2.1,3.5,3.3,2.1,3.66,3.44,2.17,3.5,3.2,2.15
16,Nice,Rennes,H,2.38,3.1,3.25,2.45,3,3,2.3,3.1,3.1,2.4,3,3.1,2.51,3.18,3.2,2.4,3,3.2
16,Lyon,Caen,H,1.33,4.75,9.5,1.4,4.6,8.25,1.4,4.3,7.5,1.36,4.75,8.5,1.38,5.4,9.15,1.4,4.75,7.5
16,Angers,Nice,A,2.5,3,3.2,2.5,2.9,3.3,2.5,3.1,2.8,2.4,2.8,3.3,2.55,2.93,3.43,2.5,2.88,3.2
16,Lille,Dijon,H,1.67,3.5,6,1.67,3.5,6,1.7,3.5,4.85,1.65,3.5,6,1.68,3.67,6.38,1.67,3.4,6
16,Lorient,Bastia,A,1.85,3.5,4.5,1.85,3.3,4.75,1.9,3.35,3.9,1.85,3.2,4.75,1.9,3.37,4.96,1.85,3.3,4.6
16,Nantes,Monaco,A,2.5,3,3,2.6,3,3,2.7,3,2.7,2.5,3,3,2.63,3.08,3.12,2.62,3.1,2.8
16,Rennes,Nancy,H,2.1,3.25,3.8,2.05,3.2,4,2.1,3.15,3.45,2.05,3.1,3.8,2.11,3.23,4.15,2.05,3.25,3.8
16,Toulouse,Bordeaux,H,2.3,3.2,3.25,2.35,3.1,3.3,2.4,3.15,2.9,2.4,3,3.1,2.5,3.14,3.26,2.25,3.2,3.3
16,Guingamp,Marseille,H,2.7,3.1,2.8,2.65,3.2,2.8,2.7,3.1,2.6,2.62,3.1,2.8,2.67,3.22,2.94,2.88,3.2,2.5
16,Paris SG,Metz,H,1.13,8,26,1.12,8.5,23,1.15,7,15,1.12,8.5,26,1.13,9.63,28.24,1.14,7.5,19
