Year,HomeTeam,AwayTeam,FTR,1H,1D,1A,2H,2D,2A,3H,3D,3A,4H,4D,4A,5H,5D,5A,6H,6D,6A
17,Monaco,Toulouse,H,1.3,5.5,10,1.3,5.75,9.75,1.35,4.7,7.9,1.28,5,10,1.32,5.72,11.12,1.3,5,10
17,Lyon,Strasbourg,H,1.36,5,8.5,1.36,5,8.5,1.4,4.3,7.5,1.36,4.6,7.5,1.4,5.19,8.99,1.4,4.5,8
17,Metz,Guingamp,A,2.8,3.2,2.63,2.8,3.2,2.65,2.65,3.1,2.65,2.75,3.1,2.5,2.95,3.2,2.71,2.7,3.1,2.7
17,Montpellier,Caen,H,1.91,3.5,4.2,1.83,3.6,4.5,1.85,3.4,4.1,1.85,3.3,4.2,1.88,3.54,4.74,1.91,3.2,4.5
17,Paris SG,Amiens,H,1.11,9,25,1.12,9.25,21,1.17,6.5,14,1.11,9,29,1.13,10.7,26,1.1,9,26
17,St Etienne,Nice,H,2.2,3.2,3.5,2.25,3.2,3.4,2.3,3.1,3.1,2.2,3,3.3,2.28,3.17,3.69,2.3,3.2,3.2
17,Troyes,Rennes,D,2.6,3.1,2.9,2.7,3.2,2.75,2.5,3.1,2.8,2.6,3,2.75,2.8,3.16,2.9,2.7,3,2.8
17,Angers,Bordeaux,D,2.5,3.1,3.1,2.55,3.1,2.95,2.5,3.1,2.8,2.5,2.9,2.9,2.63,3.06,3.14,2.62,3,2.9
17,Lille,Nantes,H,2,3.2,4.1,2.05,3.25,4,2.3,3.1,3.1,2,3.1,3.75,2.09,3.29,4.2,2.15,3,3.8
17,Marseille,Dijon,H,1.4,4.75,8,1.4,4.75,8,1.45,4,7,1.36,4.6,8,1.4,5.19,8.88,1.4,4.5,8
17,Nice,Troyes,A,1.53,4,7,1.53,4.1,6.75,1.6,3.6,5.6,1.53,4,6.5,1.53,4.5,6.95,1.53,4,6.5
17,Rennes,Lyon,A,3.6,3.5,2,3.75,3.5,2,3.45,3.15,2.1,3.5,3.6,2,3.69,3.68,2.09,3.6,3.5,2
17,Amiens,Angers,A,2.9,3.1,2.63,2.9,2.95,2.75,2.7,3,2.7,2.87,3,2.6,3.04,3.12,2.66,2.8,3,2.7
17,Bordeaux,Metz,H,1.44,4.2,8.5,1.45,4.4,7.5,1.5,3.9,6.3,1.44,4.33,7,1.46,4.6,8.15,1.5,4,7
17,Caen,St Etienne,A,3,3.1,2.5,2.85,3.2,2.6,2.8,3.1,2.5,2.9,3,2.55,3.08,3.08,2.66,2.9,3,2.62
17,Nantes,Marseille,A,3.5,3.4,2.15,3.6,3.4,2.1,3.45,3.15,2.1,3.3,3.3,2.2,3.46,3.43,2.25,3.3,3.3,2.2
17,Toulouse,Montpellier,H,2.2,3.2,3.5,2.2,3.25,3.5,2.1,3.15,3.45,2.25,3.1,3.3,2.28,3.13,3.74,2.3,3.1,3.3
17,Dijon,Monaco,A,7,4.2,1.5,6.5,4.33,1.5,5.6,3.6,1.6,5.75,4.2,1.53,6.62,4.4,1.55,6.5,4,1.53
17,Guingamp,Paris SG,A,15,6,1.22,12,5.75,1.26,10.3,5.5,1.25,11,5.5,1.28,12.75,6,1.28,12,5.5,1.25
17,Strasbourg,Lille,H,3.75,3.3,2.1,3.6,3.25,2.15,3.3,3.1,2.2,3.6,3.2,2.15,3.65,3.44,2.17,3.5,3.3,2.1
17,Metz,Monaco,A,10,5,1.3,9.5,5.25,1.33,7.9,4.7,1.35,9.5,5.2,1.3,10.3,5.93,1.33,9,5,1.33
17,Lyon,Bordeaux,D,1.57,4.33,5.5,1.6,4,5.75,1.6,3.6,5.6,1.61,4,5,1.67,4.25,5.27,1.67,3.6,5.5
17,Montpellier,Strasbourg,D,1.85,3.5,4.5,1.87,3.5,4.33,1.7,3.5,4.85,1.8,3.6,4.25,1.86,3.74,4.51,1.85,3.5,4.33
17,Nice,Guingamp,H,2,3.3,4,1.95,3.3,4.25,1.9,3.35,3.9,2,3.4,3.8,2.07,3.22,4.3,1.95,3.25,4.2
17,Rennes,Dijon,D,1.6,3.9,6,1.62,3.8,6,1.6,3.6,5.6,1.61,3.75,5.75,1.61,4.04,6.41,1.62,3.6,6
17,St Etienne,Amiens,H,1.53,4,7,1.5,3.9,7.75,1.5,3.9,6.3,1.53,3.75,7,1.57,4.01,7.16,1.57,3.6,7
17,Troyes,Nantes,A,2.5,3.1,3.1,2.55,3.2,2.9,2.65,3.1,2.65,2.55,3.1,2.9,2.6,3.23,3.02,2.7,3,2.8
17,Lille,Caen,A,1.6,3.8,6,1.62,4,5.5,1.65,3.5,5.3,1.67,3.8,5.2,1.66,4,5.79,1.67,3.6,5.5
17,Marseille,Angers,D,1.6,3.9,5.75,1.62,3.9,5.75,1.5,3.9,6.3,1.6,3.8,5.25,1.62,4.07,6.21,1.62,3.8,5.5
17,Paris SG,Toulouse,H,1.08,11,34,1.09,10.5,29,1.12,8,16,1.08,11,41,1.1,12.65,27.99,1.1,8,34
17,Paris SG,St Etienne,H,1.08,11,29,1.09,10.5,29,1.1,8,20,1.1,9.5,26,1.11,12,28,1.08,10,26
17,Amiens,Nice,H,3.3,3.2,2.3,3.5,3.25,2.2,3.1,3.1,2.3,3.25,3.1,2.2,3.62,3.26,2.26,3.1,3.2,2.38
17,Bordeaux,Troyes,H,1.44,4.5,7.5,1.44,4.4,7.75,1.4,4.3,7.5,1.4,4.33,7,1.43,4.77,8.7,1.44,4.2,7.5
17,Caen,Metz,H,1.85,3.4,4.75,1.78,3.5,5,1.85,3.4,4.1,1.8,3.4,4.25,1.86,3.54,4.89,1.75,3.6,4.75
17,Dijon,Montpellier,H,2.55,3.2,2.88,2.6,3.2,2.85,2.6,3.1,2.7,2.5,3.1,2.75,2.63,3.28,2.94,2.5,3.3,2.8
17,Nantes,Lyon,D,3.6,3.4,2.1,3.5,3.5,2.1,3.75,3.2,2,3.3,3.3,2.05,3.47,3.66,2.16,3.6,3.4,2.05
17,Toulouse,Rennes,H,2.3,3.1,3.4,2.3,3.1,3.4,2.2,3.1,3.3,2.2,3,3.3,2.32,3.23,3.51,2.3,3.1,3.3
17,Angers,Lille,D,2.25,3.1,3.5,2.2,3.2,3.5,2.3,3.1,3.1,2.15,3.1,3.3,2.21,3.27,3.75,2.15,3.25,3.5
17,Guingamp,Strasbourg,H,1.91,3.4,4.33,1.91,3.5,4.1,2,3.2,3.75,1.87,3.25,4,1.91,3.44,4.76,1.91,3.4,4.2
17,Monaco,Marseille,H,1.62,4,5.5,1.6,4.1,5.5,1.6,3.6,5.6,1.6,3.9,5,1.63,4.23,5.74,1.62,4.2,5
17,Lille,Bordeaux,D,3,3.3,2.45,2.85,3.25,2.55,2.65,3.1,2.65,2.75,3.2,2.55,2.96,3.35,2.61,2.75,3.2,2.62
17,Metz,Paris SG,A,19,10,1.13,26,9.5,1.1,15,7,1.15,21,9,1.12,27,10.2,1.13,21,9.5,1.1
17,Caen,Dijon,H,2.05,3.2,4,2.05,3.25,3.9,2,3.2,3.75,2,3.4,3.7,2.04,3.41,4.12,2,3.4,3.75
17,Montpellier,Nantes,A,2.15,3.2,3.8,2.2,3.1,3.6,2.2,3.1,3.3,2.25,3,3.4,2.28,3.12,3.77,2.25,3,3.6
17,Nice,Monaco,H,4.75,3.6,1.8,4.5,3.75,1.78,3.9,3.35,1.9,4.2,3.75,1.8,4.61,3.86,1.81,4.33,3.5,1.83
17,Strasbourg,Amiens,A,2,3.2,4.2,2.05,3.25,3.9,2.2,3.1,3.3,2.05,3.2,3.8,2.04,3.37,4.19,2.05,3.25,3.75
17,Troyes,Toulouse,D,2.88,3.2,2.6,2.85,3.25,2.55,2.8,3.1,2.5,2.87,3.1,2.5,2.98,3.28,2.6,2.88,3.2,2.5
17,Lyon,Guingamp,H,1.4,4.75,8.5,1.36,5.25,7.75,1.42,4.2,7.6,1.4,4.8,7.5,1.38,5.37,8.67,1.36,4.8,8.5
17,Marseille,Rennes,A,1.67,4,5,1.67,3.9,5.25,1.6,3.6,5.6,1.7,3.75,4.8,1.7,4.02,5.28,1.67,3.8,5
17,St Etienne,Angers,D,2.15,3.2,3.75,2.15,3.1,3.8,2,3.2,3.75,2.15,3,3.7,2.15,3.17,4.08,2.15,3.2,3.6
17,Toulouse,Bordeaux,A,2.9,3.1,2.5,2.9,3.25,2.5,2.6,3.2,2.6,3,3.1,2.45,3.15,3.27,2.52,2.88,3.2,2.5
17,Dijon,St Etienne,A,3,3.2,2.5,3.1,3.2,2.4,2.9,3.15,2.4,3.1,3.1,2.4,3.14,3.22,2.53,3.1,3.1,2.4
17,Guingamp,Lille,H,2.15,3.3,3.5,2.15,3.2,3.7,2.2,3.1,3.3,2.2,3.2,3.3,2.14,3.29,3.94,2.1,3.3,3.5
17,Monaco,Strasbourg,H,1.18,7.5,15,1.19,7,15,1.22,5.5,12,1.2,6.5,15,1.22,7.25,14.75,1.22,6,13
