Year,HomeTeam,AwayTeam,FTR,1H,1D,1A,2H,2D,2A,3H,3D,3A,4H,4D,4A,5H,5D,5A,6H,6D,6A
18,Marseille,Toulouse,H,1.4,4.5,8,1.4,4.5,8.75,1.45,4,7,1.47,4.62,7.79,1.4,4.4,8,1.4,4.8,8.5
18,Angers,Nimes,A,2.3,3.2,3.3,2.3,3.1,3.4,2.2,3.2,3.2,2.3,3.38,3.4,2.25,3.3,3.2,2.3,3.2,3.4
18,Lille,Rennes,H,2.5,3.1,3.1,2.55,3.1,2.95,2.4,3.15,2.9,2.56,3.35,2.97,2.45,3.25,2.88,2.55,3.2,3
18,Montpellier,Dijon,A,1.72,3.5,5.5,1.7,3.6,5.5,1.75,3.4,4.65,1.74,3.79,5.34,1.67,3.5,5,1.67,3.7,5.75
18,Nantes,Monaco,A,3.2,3.25,2.3,3.1,3.25,2.4,3.1,3.1,2.3,3.27,3.4,2.35,3.1,3.3,2.3,3.2,3.3,2.38
18,Nice,Reims,A,1.85,3.5,4.5,1.83,3.5,4.5,1.85,3.4,4.1,1.94,3.52,4.41,1.85,3.6,4,1.87,3.5,4.5
18,St Etienne,Guingamp,H,1.8,3.5,4.75,1.85,3.4,4.6,1.8,3.4,4.35,1.84,3.65,4.81,1.8,3.6,4.4,1.83,3.6,4.6
18,Bordeaux,Strasbourg,A,1.7,3.6,5,1.7,3.8,5,1.75,3.4,4.65,1.8,3.65,5.11,1.8,3.5,4.6,1.75,3.6,5
18,Lyon,Amiens,H,1.2,7,13,1.22,6.75,12,1.25,5.5,10,1.24,6.79,14.34,1.2,6.5,13,1.22,6.5,15
18,Paris SG,Caen,H,1.08,12,23,1.11,9.75,23,1.12,8.5,16,1.12,10.47,23.99,1.07,10,29,1.07,11.5,41
18,Reims,Lyon,H,4.75,4,1.7,5,3.8,1.7,4.9,3.8,1.7,5.06,4.2,1.69,5,3.8,1.67,5.2,4,1.67
18,Amiens,Montpellier,A,3.2,3,2.5,3.1,2.95,2.55,2.85,3.1,2.6,3.19,3.15,2.52,3.1,3.1,2.4,3.3,3,2.5
18,Caen,Nice,D,2.75,3.1,2.75,2.75,3.1,2.75,2.5,3.1,3,2.84,3.23,2.74,2.75,3.2,2.62,2.8,3.1,2.75
18,Dijon,Nantes,H,2.6,3.25,2.8,2.65,3.1,2.85,2.7,3.15,2.7,2.62,3.41,2.88,2.5,3.3,2.8,2.55,3.3,2.9
18,Guingamp,Paris SG,A,13,7,1.2,12.5,6.5,1.22,13,6.5,1.22,11.61,6.45,1.27,12,6,1.22,11.5,6.25,1.25
18,Monaco,Lille,D,1.5,4.33,6.5,1.53,4.33,6,1.45,4.4,7.2,1.53,4.56,6.5,1.5,4,5.8,1.53,4.4,6.25
18,Rennes,Angers,H,1.9,3.3,4.5,1.87,3.4,4.6,1.85,3.4,4.5,1.89,3.47,4.75,1.91,3.5,4,1.9,3.4,4.6
18,Nimes,Marseille,H,4.75,3.8,1.72,4.6,3.8,1.75,4.9,3.8,1.7,4.54,4.11,1.78,4.2,3.9,1.75,4.6,3.9,1.75
18,Strasbourg,St Etienne,D,2.6,3.2,2.8,2.7,3.3,2.65,2.85,3.1,2.6,2.76,3.3,2.77,2.62,3.25,2.7,2.7,3.2,2.8
18,Toulouse,Bordeaux,H,2.6,3.1,2.9,2.6,3.1,2.9,2.5,3.1,3,2.61,3.19,3.04,2.5,3.2,2.88,2.6,3.1,3
18,Lyon,Strasbourg,H,1.28,5.75,11,1.28,5.75,10.5,1.33,5.3,8.8,1.29,6.14,11.25,1.29,5.5,9.5,1.25,6,12
18,Amiens,Reims,H,2.6,3.25,2.8,2.7,3,2.85,2.6,3.05,2.9,2.74,3.16,2.91,2.62,3.1,2.8,2.7,3.1,2.9
18,Montpellier,St Etienne,D,2.4,3.1,3.2,2.4,3.1,3.2,2.4,3.15,3.1,2.48,3.17,3.26,2.4,3.1,3.1,2.45,3.1,3.25
