Year,HomeTeam,AwayTeam,FTR,1H,1D,1A,2H,2D,2A,3H,3D,3A,4H,4D,4A,5H,5D,5A,6H,6D,6A
13,Montpellier,Paris SG,D,4.75,3.5,1.75,5,3.6,1.7,4.1,3.4,1.85,4.75,3.5,1.75,5.31,3.64,1.79,4.5,3.8,1.73
13,Bordeaux,Monaco,A,3,3,2.5,3.2,3.1,2.35,2.9,3.15,2.4,3,3.2,2.37,3.21,3.17,2.51,3,3,2.5
13,Evian Thonon Gaillard,Sochaux,D,2.15,3.1,3.6,2.2,3.1,3.5,2.2,3.15,3.25,2.15,3.2,3.5,2.2,3.24,3.81,2.3,3,3.4
13,Lille,Lorient,H,1.62,3.6,6,1.65,3.6,5.5,1.75,3.4,4.65,1.7,3.6,5,1.65,3.83,6.41,1.7,3.2,6
13,Lyon,Nice,H,1.73,3.5,5,1.75,3.6,4.6,1.75,3.4,4.65,1.8,3.5,4.5,1.76,3.76,5.18,1.83,3.3,4.8
13,Nantes,Bastia,H,2.25,3.1,3.4,2.35,3.1,3.2,2.3,3.1,3.1,2.3,3.2,3.1,2.28,3.29,3.54,2.4,3.1,3.1
13,Rennes,Reims,H,1.7,3.4,5.5,1.72,3.5,5,1.85,3.4,4.1,1.8,3.5,4.5,1.75,3.59,5.72,1.83,3.25,4.8
13,Valenciennes,Toulouse,H,2.5,3.1,2.9,2.55,3.1,2.85,2.5,3.1,2.8,2.5,3.2,2.87,2.62,3.2,3.02,2.62,3.1,2.8
13,Ajaccio,St Etienne,A,3.4,3.2,2.2,3.4,3.1,2.25,2.9,3.15,2.4,3,3.4,2.25,3.4,3.14,2.42,3.2,3,2.4
13,Guingamp,Marseille,A,3.4,3.2,2.2,3.4,3.2,2.2,3.25,3.15,2.2,3.5,3.25,2.1,3.89,3.25,2.18,3.5,3,2.25
13,Sochaux,Lyon,A,3.6,3.2,2.1,3.6,3.2,2.1,3.45,3.15,2.1,3.25,3.2,2.25,3.61,3.3,2.25,3.5,3.3,2.1
13,Bastia,Valenciennes,H,2.1,3.3,3.5,2.15,3.2,3.5,2.2,3.2,3.2,2.3,3.2,3.1,2.18,3.33,3.75,2.25,3.1,3.4
13,Marseille,Evian Thonon Gaillard,H,1.4,4.5,8,1.42,4.2,8.25,1.4,4.3,7.5,1.44,4,8,1.45,4.36,9.44,1.4,4.33,8.5
13,Nice,Rennes,H,2.3,3.2,3.2,2.35,2.95,3.3,2.4,3.15,2.9,2.15,3.25,3.4,2.38,3.16,3.47,2.25,3.25,3.25
13,Reims,Lille,H,3.6,3.2,2.1,3.6,3.2,2.1,3.3,3.1,2.2,3.5,3.2,2.15,3.81,3.14,2.25,3.6,3.2,2.15
13,St Etienne,Guingamp,H,1.44,4,8,1.48,3.75,8.25,1.47,4,6.6,1.5,3.75,7.5,1.5,4.13,8.58,1.5,4,7
13,Toulouse,Bordeaux,D,2.38,3,3.25,2.4,3,3.2,2.3,3.1,3.1,2.3,3,3.4,2.51,3.04,3.37,2.3,3.2,3.2
13,Lorient,Nantes,H,2.15,3.2,3.5,2.15,3.2,3.5,2,3.2,3.75,2,3.3,3.8,2.2,3.22,3.84,2.05,3.2,3.75
13,Monaco,Montpellier,H,1.53,3.8,6.5,1.57,3.7,6.25,1.55,3.7,6,1.57,3.8,6,1.56,3.95,7.75,1.53,3.8,6.5
13,Paris SG,Ajaccio,D,1.2,6.5,13,1.2,6.25,14,1.2,5.8,13,1.2,6,15,1.2,7.08,20.85,1.18,6.5,17
13,Monaco,Toulouse,D,1.36,4.5,9,1.36,4.5,9.25,1.42,4.2,7.5,1.4,4.33,8.5,1.41,4.66,9.97,1.4,4.4,8.5
13,Bordeaux,Bastia,H,1.7,3.6,5,1.75,3.4,5,1.7,3.5,4.85,1.75,3.5,4.75,1.76,3.6,5.63,1.7,3.4,5.5
13,Evian Thonon Gaillard,Rennes,A,2.38,3.1,3.1,2.5,3,3,2.5,3.2,2.75,2.37,3.2,3,2.51,3.22,3.16,2.5,3.2,2.88
13,Guingamp,Lorient,H,2.3,3.1,3.2,2.5,3.1,2.95,2.5,3.1,2.8,2.5,3.1,2.87,2.47,3.2,3.21,2.5,3.2,2.9
13,Lyon,Reims,A,1.53,4,6,1.53,3.9,6.5,1.5,3.9,6.3,1.5,4,6.5,1.56,4.08,7.15,1.55,4,6
13,Montpellier,Sochaux,H,1.73,3.5,5,1.8,3.5,4.5,1.7,3.5,4.85,1.8,3.5,4.5,1.81,3.62,5.11,1.8,3.4,4.8
13,Valenciennes,Marseille,A,3.5,3.3,2.1,3.8,3.2,2.05,3.25,3.15,2.2,3.5,3.2,2.15,3.99,3.15,2.19,3.8,3.25,2.05
13,Ajaccio,Nice,D,2.5,3.1,2.9,2.5,3.1,2.9,2.6,3.2,2.6,2.5,3.2,2.87,2.64,3.15,3.04,2.5,3.2,2.88
13,Lille,St Etienne,H,1.95,3.25,4.2,1.95,3.25,4.1,2,3.25,3.7,2.1,3.25,3.6,2.04,3.25,4.31,2,3.25,4
13,Nantes,Paris SG,A,6,3.8,1.57,6,3.8,1.57,5.8,3.7,1.57,7,3.75,1.53,7.33,3.99,1.56,6,3.75,1.6
13,Bastia,Toulouse,H,2.5,3.2,2.88,2.4,3.1,3.1,2.3,3.1,3.1,2.37,3,3.2,2.58,3.25,3.03,2.5,3.2,2.9
13,Evian Thonon Gaillard,Lyon,H,3.25,3.2,2.25,3.4,3.25,2.15,3.3,3.1,2.2,3.4,3.25,2.15,3.46,3.3,2.31,3.25,3.25,2.25
13,Lorient,Valenciennes,H,1.91,3.4,4,1.91,3.3,4.2,2,3.2,3.75,2,3.25,3.9,1.95,3.4,4.59,1.95,3.25,4.2
13,Paris SG,Guingamp,H,1.18,6.5,16,1.16,6.75,18.5,1.17,6.5,14,1.2,6,15,1.18,7.51,20.7,1.17,6.5,19
13,Reims,Nantes,D,2.25,3.1,3.4,2.25,3.1,3.3,2.1,3.15,3.45,2.15,3.2,3.5,2.23,3.24,3.73,2.25,3.2,3.3
13,Rennes,Lille,D,2.88,3.1,2.55,2.8,3,2.65,2.6,3.2,2.6,2.7,3.1,2.7,2.88,3.18,2.75,2.7,3.1,2.7
13,Sochaux,Ajaccio,D,2,3.2,4,2,3.2,4,2.05,3.2,3.6,2,3.25,3.8,1.99,3.38,4.39,2.05,3.25,3.8
13,Marseille,Monaco,A,2.4,3.1,3.1,2.55,3.1,2.85,2.3,3.1,3.1,2.37,3.1,3.1,2.6,3.24,3.02,2.5,3.2,2.9
13,Nice,Montpellier,D,2,3.25,3.8,2.1,3.2,3.6,2.1,3.15,3.45,2.1,3.2,3.6,2.1,3.43,3.88,2.1,3.2,3.6
13,St Etienne,Bordeaux,H,2,3.3,3.8,2,3.25,3.9,1.9,3.35,3.9,2.05,3.25,3.75,2.07,3.25,4.25,2.05,3.25,3.8
13,Bordeaux,Paris SG,A,4.33,3.25,1.91,4.75,3.3,1.8,3.6,3.3,2,4.33,3.1,1.95,4.53,3.37,1.97,4.2,3.25,1.95
13,Ajaccio,Evian Thonon Gaillard,A,2.7,3,2.8,2.55,3.1,2.85,2.4,3.15,2.9,2.5,3.1,2.9,2.8,3.24,2.79,2.62,3.2,2.75
13,Guingamp,Bastia,D,2.05,3.25,3.75,2,3.3,3.8,2.1,3.15,3.45,2.05,3.4,3.5,2.12,3.33,3.97,2.05,3.4,3.6
13,Montpellier,Reims,D,1.83,3.25,4.75,1.83,3.25,4.75,1.8,3.4,4.35,1.8,3.5,4.5,1.89,3.36,5.03,1.8,3.5,4.6
13,Nantes,Sochaux,H,1.91,3.25,4.33,1.87,3.4,4.25,1.9,3.35,3.9,1.95,3.3,4,1.94,3.36,4.71,1.95,3.4,4
13,Toulouse,Marseille,D,2.88,3,2.6,2.85,3,2.6,2.9,3.15,2.4,2.87,3.2,2.5,3.07,3.06,2.69,2.8,3.1,2.62
13,Valenciennes,St Etienne,A,3.4,3.1,2.25,3.25,3.1,2.3,2.9,3.15,2.4,3.1,3.25,2.3,3.4,3.17,2.41,3.3,3.2,2.25
13,Lille,Nice,A,1.7,3.4,5.5,1.67,3.5,5.5,1.75,3.4,4.65,1.7,3.4,5.5,1.75,3.54,5.82,1.75,3.5,5
13,Lyon,Rennes,D,1.91,3.3,4.2,1.8,3.6,4.75,1.85,3.4,4.1,1.85,3.5,4.33,1.86,3.56,4.83,1.91,3.5,4
13,Monaco,Lorient,H,1.4,4.5,8,1.36,4.75,8.5,1.4,4.3,7.5,1.4,4.5,7.5,1.42,4.89,8.72,1.36,4.6,9
13,St Etienne,Toulouse,A,1.8,3.25,5,1.78,3.4,4.75,1.8,3.4,4.35,1.72,3.5,5,1.82,3.51,5.36,1.8,3.4,4.75
13,Bastia,Marseille,D,3.3,3.1,2.3,3.3,3.25,2.2,3.2,3.1,2.25,3.2,3.2,2.25,3.53,3.3,2.28,3.1,3.1,2.4
13,Evian Thonon Gaillard,Montpellier,D,2.2,3.3,3.25,2.15,3.25,3.4,2.3,3.1,3.1,2.25,3.25,3.2,2.19,3.36,3.7,2.3,3.2,3.2
13,Reims,Guingamp,D,2.1,3.2,3.6,2.15,3.1,3.6,2.1,3.15,3.45,2.05,3.25,3.7,2.17,3.19,4.01,2.2,3,3.6
13,Rennes,Ajaccio,H,1.73,3.4,5.25,1.72,3.5,5,1.65,3.5,5.3,1.66,3.5,5.5,1.75,3.66,5.58,1.83,3.2,5
13,Sochaux,Lille,A,3.75,3.25,2.05,3.75,3.2,2.05,3.45,3.15,2.1,3.4,3.25,2.15,3.94,3.28,2.14,3.5,3.2,2.15
13,Lorient,Bordeaux,D,2.63,3.1,2.75,2.6,3,2.9,2.5,3.1,2.8,2.4,3.25,2.9,2.72,3.1,3,2.7,3.1,2.7
13,Lyon,Nantes,H,1.75,3.4,5,1.75,3.4,5,1.75,3.4,4.65,1.61,3.7,5.5,1.8,3.52,5.43,1.8,3.4,4.75
13,Nice,Valenciennes,H,1.73,3.5,5,1.75,3.4,5,1.75,3.4,4.65,1.75,3.4,5,1.76,3.65,5.47,1.8,3.4,4.75
13,Paris SG,Monaco,D,1.8,3.5,4.5,1.83,3.4,4.5,1.9,3.35,3.9,1.85,3.4,4.33,1.81,3.58,5.23,1.85,3.3,4.5
13,Lille,Evian Thonon Gaillard,H,1.53,3.8,6.5,1.55,3.75,6.5,1.6,3.6,5.6,1.57,3.6,6.5,1.55,4.12,7.37,1.53,3.8,7
13,Marseille,St Etienne,H,2,3.2,4,1.91,3.2,4.25,2,3.3,3.6,2.1,3.2,3.6,1.97,3.37,4.54,1.95,3.25,4.2
13,Ajaccio,Lyon,H,3.6,3.25,2.1,3.6,3.25,2.05,3.7,3.25,2,3.75,3.25,2.05,4.31,3.31,2.05,3.8,3.25,2.05
13,Bordeaux,Reims,D,1.75,3.5,4.75,1.7,3.4,5.25,1.75,3.4,4.65,1.83,3.2,5,1.81,3.49,5.35,1.75,3.4,5
13,Guingamp,Sochaux,H,1.85,3.4,4.33,1.91,3.1,4.4,2,3.25,3.7,2,3.4,3.8,1.93,3.4,4.68,2,3.2,4
13,Monaco,Bastia,H,1.25,5.5,12,1.3,5,10,1.27,5.2,10,1.25,5.5,12,1.26,5.9,15.6,1.3,5,11
13,Nantes,Nice,H,2.15,3.2,3.5,2.15,3.25,3.4,2.2,3.2,3.2,2.38,3.2,3,2.33,3.15,3.58,2.3,3.1,3.3
13,Toulouse,Lorient,H,2,3.2,4,2,3.2,3.9,1.9,3.35,3.9,2,3.25,3.8,2.13,3.27,3.99,2.1,3.1,3.8
13,Valenciennes,Paris SG,A,8.5,4.25,1.4,7.5,4.5,1.4,7,4,1.45,8.5,4.33,1.4,10.47,4.61,1.4,8,4,1.44
13,Montpellier,Rennes,D,2.1,3.1,3.8,2.05,3.1,3.8,2.1,3.2,3.4,2.1,3.25,3.5,2.26,3.29,3.6,2.2,3.2,3.4
13,Evian Thonon Gaillard,Bordeaux,D,2.5,3.1,2.9,2.45,3,3.1,2.5,3.1,2.8,2.5,3.25,2.8,2.44,3.22,3.28,2.5,3,3
13,Lorient,Marseille,A,2.88,3.2,2.5,2.95,3.25,2.4,2.9,3.15,2.4,2.8,3.25,2.5,2.92,3.18,2.72,2.8,3.2,2.5
13,Lyon,Lille,D,2.25,3.2,3.25,2.3,3.1,3.25,2.3,3.15,3.05,2.25,3.25,3.25,2.4,3.22,3.35,2.5,3,3
13,Nice,Guingamp,H,1.95,3.25,4.2,1.91,3.3,4.25,1.85,3.4,4.1,1.85,3.4,4.33,1.99,3.45,4.28,2,3.2,4
13,Paris SG,Toulouse,H,1.25,5.5,12,1.25,5,15,1.25,5.5,10.3,1.28,5,11,1.3,5.68,12.9,1.3,5,11
13,Sochaux,Valenciennes,H,2.3,3.2,3.1,2.4,3.1,3.1,2.2,3.2,3.2,2.37,3.25,3,2.39,3.16,3.46,2.5,3.2,2.8
13,St Etienne,Bastia,D,1.57,3.75,6.25,1.6,3.6,6.25,1.5,3.9,6.3,1.5,4,7,1.61,4.07,6.31,1.62,3.5,6.5
13,Ajaccio,Montpellier,D,3.1,3.25,2.3,3,3.2,2.4,2.9,3.15,2.4,2.9,3.25,2.4,3.22,3.19,2.5,3,3,2.5
13,Reims,Monaco,D,5.5,3.75,1.62,5.75,3.6,1.62,5.3,3.5,1.65,5,3.75,1.66,5.84,3.72,1.71,5.5,3.4,1.7
13,Rennes,Nantes,A,2.15,3.2,3.5,2.05,3.2,3.8,1.9,3.35,3.9,1.95,3.3,4,2.16,3.26,3.91,2.1,3.2,3.6
13,Bastia,Lorient,H,2.38,3.1,3.1,2.45,3.3,2.85,2.4,3.15,2.9,2.4,3.1,3,2.44,3.31,3.2,2.4,3.3,2.9
13,Guingamp,Rennes,H,2.15,3.1,3.6,2.25,3.1,3.4,2.3,3.1,3.1,2.3,3.2,3.2,2.25,3.22,3.7,2.3,3.1,3.3
13,Lille,Ajaccio,H,1.33,4.75,10,1.35,4.6,9.5,1.37,4.6,7.5,1.33,4.5,11,1.34,5.07,12.42,1.36,4.5,9
13,Monaco,St Etienne,H,1.53,3.75,7,1.53,3.6,7.25,1.55,3.7,6,1.5,4,7,1.52,4.21,7.62,1.55,3.6,7
13,Nantes,Evian Thonon Gaillard,H,1.83,3.4,4.5,1.8,3.2,5,1.8,3.4,4.35,1.8,3.5,4.5,1.85,3.47,5.09,1.85,3.3,4.5
13,Toulouse,Nice,H,1.95,3.3,4,1.95,3.3,4,2,3.2,3.75,2,3.2,4,2.06,3.29,4.22,2.05,3.1,4
13,Valenciennes,Reims,D,2.2,3.1,3.5,2.3,3,3.4,2.3,3.1,3.1,2.3,3.1,3.2,2.24,3.28,3.65,2.3,3.1,3.3
13,Bordeaux,Sochaux,H,1.57,3.6,6.5,1.57,3.7,6.5,1.57,3.7,5.8,1.57,3.5,7,1.56,3.98,7.57,1.6,3.4,7
13,Marseille,Paris SG,A,4,3.4,1.91,4.2,3.5,1.85,3.9,3.35,1.9,4.33,3.4,1.85,4.63,3.4,1.94,4.2,3.3,1.91
13,Montpellier,Lyon,H,2.3,3.2,3.1,2.3,3.25,3.1,2.35,3.15,2.95,2.25,3.2,3.25,2.38,3.2,3.41,2.4,3.1,3.1
13,Nice,Marseille,H,2.63,3.1,2.75,2.75,3,2.75,2.6,3.2,2.6,2.62,3.2,2.7,2.9,3.27,2.67,2.62,3.2,2.75
13,Reims,Toulouse,A,2.6,3.1,2.8,2.55,3.1,2.85,2.6,3,2.75,2.6,3,2.9,2.67,3.2,2.96,2.6,3,2.9
13,Ajaccio,Nantes,A,3.1,3.1,2.38,3,3.2,2.4,2.75,3.2,2.5,3,3.1,2.5,3.32,3.16,2.42,2.9,3.1,2.5
13,Evian Thonon Gaillard,Guingamp,A,2.25,3.2,3.25,2.4,3.2,3,2.3,3.1,3.1,2.37,3.25,3,2.39,3.24,3.36,2.5,3.1,2.9
13,Montpellier,Lille,A,2.88,3.2,2.5,3,3.1,2.45,2.7,3.2,2.5,2.9,3.1,2.5,3.15,3.21,2.53,2.75,3.2,2.6
13,Paris SG,Bastia,H,1.2,6,15,1.2,6.25,13.5,1.2,5.8,13,1.2,6,15,1.23,6.66,16.5,1.25,5.5,12
13,Rennes,Valenciennes,D,1.8,3.4,4.75,1.8,3.5,4.4,1.7,3.5,4.85,1.83,3.25,4.75,1.9,3.48,4.72,1.91,3.4,4
13,Lyon,Bordeaux,D,2.1,3.3,3.5,2.1,3.2,3.6,2,3.3,3.6,2.05,3.3,3.6,2.11,3.28,3.83,2.15,3.2,3.5
13,Sochaux,Monaco,D,8,4,1.44,9.25,3.9,1.42,6.3,3.9,1.5,7,4,1.5,9,4.36,1.46,8,4,1.44
13,St Etienne,Lorient,H,1.6,3.75,5.75,1.6,3.7,6,1.6,3.6,5.6,1.6,3.6,6,1.66,3.83,6.17,1.67,3.75,5
13,Nantes,Lille,A,2.8,3.1,2.63,2.8,3.1,2.6,2.6,3.2,2.6,2.7,3.1,2.7,3,3.15,2.71,2.9,3,2.62
