Year,HomeTeam,AwayTeam,FTR,1H,1D,1A,2H,2D,2A,3H,3D,3A,4H,4D,4A,5H,5D,5A,6H,6D,6A
11,Nancy,Lyon,H,3.6,3.2,2.1,3.6,3.25,2.15,3.75,3.2,2,3.2,3.2,2.1,3.5,3,2,3.4,3.2,2.15
11,Sochaux,Valenciennes,D,2.9,3.1,2.5,3,3,2.45,2.8,3.1,2.5,2.5,3.1,2.7,2.6,3,2.5,2.8,3.15,2.5
11,St Etienne,Evian Thonon Gaillard,A,1.62,3.6,6,1.62,3.6,5.75,1.67,3.4,5.5,1.65,3.4,4.7,1.62,3.3,5,1.615,3.6,5.75
11,Caen,Brest,D,2.1,3.1,3.75,2.1,3.2,3.8,2.1,3.1,3.6,2.15,2.9,3.4,2,3,3.5,2.05,3.15,3.75
11,Lorient,Rennes,A,2.63,3.1,2.75,2.45,3,3,2.5,3.1,2.8,2.5,3.1,2.7,2.4,2.9,2.75,2.55,3.1,2.8
11,Paris SG,Ajaccio,H,1.25,5.5,12,1.25,5.25,12.5,1.25,5.5,11,1.3,4.8,8.5,1.22,5,10,1.222,5.75,13
11,Evian Thonon Gaillard,Marseille,H,3.25,3.2,2.25,3.2,3.1,2.3,3.2,3.2,2.2,3.3,3.1,2.1,3.5,3.2,1.91,3.15,3.2,2.25
11,Ajaccio,Marseille,H,4,3.2,2,4,3.25,1.95,4,3.3,1.9,3.2,3.2,2.1,3.6,3.1,1.91,4,3.4,1.909
11,Brest,Bordeaux,A,3,3,2.5,3.25,2.8,2.6,2.85,3,2.5,2.7,3.1,2.5,2.62,3,2.4,2.8,3,2.625
11,Evian Thonon Gaillard,Sochaux,A,1.83,3.4,4.5,1.8,3.4,4.5,1.9,3.2,4.2,1.85,3.4,3.8,1.83,3.2,3.75,1.85,3.4,4.2
11,Lyon,Lille,H,2.5,3.1,2.9,2.4,3.2,3.1,2.5,3.1,2.8,2.3,3.1,2.9,2.25,3,2.88,2.45,3.15,2.9
11,Nice,Nancy,D,2,3.2,4,2.05,3.1,3.8,2,3.2,3.75,2,3.2,3.4,2,3,3.5,2,3.15,4
11,Toulouse,Lorient,D,1.73,3.25,5.5,1.78,3.3,4.75,1.8,3.3,4.5,1.75,3.3,4.4,1.73,3.2,4.33,1.8,3.4,4.5
11,Valenciennes,St Etienne,A,2.2,3.1,3.5,2.2,3.1,3.4,2.25,3.1,3.2,2.2,3.1,3.1,2.2,3,3,2.2,3.1,3.4
11,Dijon,Paris SG,A,4.5,3.4,1.83,4.4,3.5,1.8,4.25,3.3,1.85,4.4,3.3,1.75,4.33,3.2,1.73,4.333,3.4,1.833
11,Montpellier,Caen,H,1.5,4.2,6.5,1.5,3.9,6.75,1.44,4,7.5,1.5,3.8,5.7,1.4,3.75,7,1.533,3.75,6.5
11,Rennes,Auxerre,D,1.57,3.5,7,1.57,3.6,6.5,1.57,3.5,6.5,1.6,3.6,5,1.53,3.5,5.5,1.571,3.6,6.25
11,Auxerre,Evian Thonon Gaillard,A,2.25,3.1,3.4,2.25,3.1,3.3,2.25,3.1,3.3,2.2,3,3.2,2.2,2.88,3.1,2.25,3.1,3.25
11,Bordeaux,Ajaccio,D,1.4,4.2,9,1.48,3.8,7.75,1.5,3.75,7,1.45,3.7,7,1.44,3.6,6.5,1.45,3.8,8.5
11,Caen,Paris SG,D,4.5,3.5,1.8,4.6,3.25,1.83,4.5,3.4,1.8,4.2,3.3,1.8,4,3.2,1.8,4.5,3.4,1.8
11,Lorient,Brest,H,2,3.1,4.2,2,3.1,4,2,3.1,4,2.1,2.9,3.5,1.91,3,3.75,2,3.1,4
11,Marseille,Dijon,A,1.4,4.5,8,1.45,4.25,8,1.42,4.25,7.5,1.4,4.1,7,1.4,3.75,7,1.4,4.333,8
11,Nancy,Montpellier,H,3.4,3.2,2.2,3.5,3.2,2.2,3.5,3.1,2.15,3.1,3.1,2.2,3,3,2.2,3.4,3.2,2.15
11,St Etienne,Lyon,A,2.6,3,2.88,2.6,3.1,2.75,2.55,3.1,2.75,2.6,3.1,2.6,2.5,3,2.6,2.55,3.1,2.8
11,Lille,Valenciennes,H,1.57,3.6,6.5,1.6,3.6,6,1.57,3.6,6.25,1.52,3.7,5.7,1.57,3.3,5.5,1.6,3.6,6
11,Rennes,Toulouse,A,2,3.2,4,2.05,3.2,4,2,3.2,3.75,2,3.15,3.45,2,3,3.5,2.05,3.15,3.75
11,Sochaux,Nice,H,2.38,3,3.25,2.4,2.95,3.2,2.45,3,3,2.3,3.1,2.9,2.38,3,2.75,2.4,3.1,3
11,Ajaccio,Lorient,D,2.6,3.1,2.8,2.35,3.1,3.1,2.4,3.1,3,2.3,3,3,2.3,2.9,2.9,2.45,3.1,2.95
11,Brest,Nancy,A,2.2,3,3.6,2.35,2.8,3.5,2.25,3,3.3,2.1,3,3.4,2.1,3,3.2,2.25,3,3.4
11,Evian Thonon Gaillard,Lille,A,3.75,3.3,2,3.5,3.1,2.15,3.5,3.1,2.15,3.2,3.2,2.1,3.2,3,2.1,3.5,3.2,2.1
11,Lyon,Sochaux,H,1.33,4.75,9.5,1.4,4.33,8,1.35,4.5,9,1.35,4.5,7.3,1.33,4,8,1.35,4.5,9
11,Montpellier,St Etienne,H,1.73,3.5,5,1.7,3.4,5.25,1.8,3.2,4.75,1.8,3.4,4,1.73,3.2,4.33,1.75,3.4,4.8
11,Nice,Marseille,D,3.1,3.1,2.4,3.1,3.2,2.4,2.9,3,2.5,2.6,3.1,2.6,3,3,2.2,3,3.1,2.4
11,Valenciennes,Rennes,H,2.5,3.1,2.9,2.45,3,3,2.45,3.1,2.9,2.4,3.1,2.8,2.38,3,2.75,2.5,3.1,2.85
11,Dijon,Caen,H,2.3,3.2,3.1,2.3,3.1,3.2,2.3,3.1,3.1,2.2,3.1,3.1,2.2,3,3,2.25,3.1,3.25
11,Paris SG,Bordeaux,D,1.67,3.5,5.5,1.7,3.6,5.5,1.65,3.5,5.5,1.7,3.4,4.5,1.6,3.4,5,1.65,3.6,5.25
11,Toulouse,Auxerre,H,1.73,3.5,5,1.7,3.4,5.25,1.7,3.5,5,1.8,3.3,4.1,1.67,3.3,4.5,1.7,3.5,5
11,Auxerre,Valenciennes,H,2.4,2.88,3.3,2.5,3.1,3.1,2.4,3,3.1,2.2,3.1,3.1,2.38,3,2.75,2.4,3,3.1
