Year,Date,HomeTeam,AwayTeam,FTR,1H,1D,1A,2H,2D,2A,3H,3D,3A,4H,4D,4A,5H,5D,5A,6H,6D,6A
10,11/12/2010,Nancy,Sochaux,H,2.1,3.2,3.6,2.15,3.1,3.4,2.1,3.1,3.5,2.1,3.1,3.3,2.1,3,3.2,2.1,3,3.4
10,11/12/2010,Valenciennes,Paris SG,A,3.2,3.1,2.35,3.3,3.2,2.15,3.1,3,2.3,2.8,3.1,2.35,3,2.88,2.25,3.1,3,2.25
10,12/12/2010,Bordeaux,Rennes,D,2.05,3.1,3.9,2.05,3.3,3.9,2.05,3.1,3.6,1.9,3.3,3.7,2,3,3.4,2,3.1,3.6
10,12/12/2010,Lyon,Toulouse,H,1.53,3.7,7,1.48,3.8,7.25,1.5,3.75,6.5,1.45,3.7,7,1.5,3.5,6,1.5,3.6,6.5
10,12/12/2010,Monaco,St Etienne,A,2.4,3.1,3.1,2.45,3,2.95,2.4,3,3,2.3,3.1,2.9,2.3,2.88,2.9,2.4,2.85,3
10,18/12/10,Montpellier,Auxerre,D,2.1,3.1,3.8,2.1,3.1,3.6,2.1,3,3.6,2.25,3,3.1,2,3,3.4,2.05,3,3.6
10,18/12/10,Nice,Brest,D,2.4,3,3.2,2.45,2.95,3,2.4,3,3,2.3,3.1,2.9,2.2,2.88,3.1,2.4,3,2.85
10,18/12/10,Paris SG,Monaco,D,1.53,3.75,7,1.48,3.8,7.25,1.5,3.75,6.5,1.55,3.7,5.4,1.44,3.75,6,1.45,3.75,7
10,18/12/10,Rennes,Valenciennes,H,1.8,3.3,4.75,1.75,3.3,4.75,1.75,3.3,4.75,1.65,3.4,4.8,1.67,3.3,4.5,1.73,3.3,4.5
10,18/12/10,St Etienne,Arles,H,1.36,4.5,9,1.3,4.6,10.5,1.36,4.25,8.5,1.4,4.1,7,1.33,4,8,1.33,4.2,9
10,18/12/10,Toulouse,Lorient,H,2.1,3.1,3.8,2,3.1,3.9,2,3.1,3.75,2.1,3.1,3.3,2,3,3.4,2,3,3.75
10,19/12/10,Marseille,Lyon,D,2.1,3.25,3.6,2.15,3.25,3.25,2.1,3.1,3.3,2.2,3.1,3.1,2.2,3,3,2.1,3.2,3.2
10,19/12/10,Sochaux,Bordeaux,D,2.7,3,2.75,2.65,3.1,2.6,2.7,3,2.6,2.6,3,2.6,2.5,2.88,2.62,2.6,3,2.6
10,21/12/10,Lorient,Montpellier,D,2.1,3.1,3.8,2.1,2.9,3.8,2.1,3,3.6,2.2,3.1,3.1,2,3.2,3.2,2.1,3,3.4
10,22/12/10,Arles,Nice,D,3.25,3.1,2.3,3.3,2.95,2.3,3.1,3,2.3,3.1,3.1,2.2,2.75,3,2.38,3.1,3,2.25
10,22/12/10,Bordeaux,Lens,D,1.57,3.6,6.5,1.55,3.6,6.25,1.55,3.6,6,1.6,3.5,5.2,1.5,3.5,6,1.53,3.6,5.8
10,22/12/10,Brest,Marseille,D,3.8,3,2.15,3.6,3,2.15,3.5,3,2.15,3.2,3,2.2,3,3.2,2.1,3.3,3.1,2.1
10,22/12/10,Caen,Rennes,H,3,3,2.5,3,2.95,2.45,3,3,2.4,2.75,3,2.5,2.88,3.1,2.2,3,3,2.3
10,22/12/10,Lille,St Etienne,D,1.44,4.1,7.5,1.4,4.2,7.75,1.45,4,7,1.5,3.8,5.7,1.44,3.75,6,1.4,4,7.5
10,22/12/10,Lyon,Auxerre,D,1.53,3.75,7,1.5,3.75,6.75,1.55,3.6,6,1.55,3.6,5.6,1.44,3.75,6,1.55,3.6,5.6
10,22/12/10,Monaco,Sochaux,H,2.15,3,3.7,2.1,3,3.65,2.2,3,3.3,2.1,3,3.4,2.25,3,2.88,2.2,3,3.2
10,22/12/10,Nancy,Paris SG,H,3.5,3.1,2.2,3.4,3.1,2.15,3.3,3,2.2,3.1,3.1,2.2,3,3.2,2.1,3.3,3.1,2.1
10,22/12/10,Valenciennes,Toulouse,H,2.3,3,3.4,2.35,2.9,3.25,2.3,3,3.1,2.5,3,2.75,2.2,3.2,2.8,2.3,3,3
10,15/01/11,Auxerre,Monaco,D,1.83,3.25,4.75,2,2.9,4.25,1.8,3.2,4.6,1.9,3.2,3.8,1.8,3.2,4,1.8,3.2,4.33
10,15/01/11,Brest,Caen,A,1.91,3.2,4.33,1.85,3.1,4.6,1.85,3.1,4.5,1.85,3.3,3.9,1.8,3.2,4,1.83,3.2,4.2
10,15/01/11,Lens,St Etienne,H,2.5,3,3,2.4,2.95,3.1,2.5,3,2.8,2.4,3.1,2.8,2.4,3,2.7,2.5,3,2.7
10,15/01/11,Lyon,Lorient,H,1.5,4,7,1.5,3.7,7,1.5,3.8,6,1.4,3.9,7.5,1.44,3.6,6.5,1.45,3.75,7
10,15/01/11,Montpellier,Valenciennes,H,1.91,3.2,4.33,1.91,3,4.5,1.9,3.25,4,2,3.3,3.3,1.91,3.1,3.6,1.9,3.1,4
10,15/01/11,Nice,Lille,A,4.33,3.2,1.91,3.9,3.2,1.95,3.75,3.25,1.95,3.3,3.3,2,3.75,3.2,1.83,3.6,3.2,1.95
10,15/01/11,Paris SG,Sochaux,H,1.5,4,7,1.48,3.9,6.75,1.5,3.8,6.5,1.5,3.8,5.7,1.44,3.6,6.5,1.5,3.75,6
10,15/01/11,Rennes,Arles,H,1.36,4.5,9,1.35,4.33,9.25,1.35,4.5,8,1.4,3.9,7.5,1.33,4,8,1.35,4.33,8
10,15/01/11,Toulouse,Nancy,H,2.1,3.2,3.6,2.1,2.95,3.8,2,3.2,3.6,2,3.2,3.4,1.91,3.2,3.5,2,3.1,3.6
10,16/01/11,Marseille,Bordeaux,H,1.73,3.4,5,1.8,3.4,5,1.75,3.35,4.5,1.8,3.3,4.2,1.8,3.2,4,1.75,3.4,4.33
10,19/01/11,Lille,Nancy,H,1.4,4.2,8.5,1.34,4.5,9,1.42,3.75,8.25,1.45,3.7,7,1.4,3.75,7,1.4,3.8,8
10,22/01/11,Lens,Caen,H,2.1,3.1,3.75,2.1,3,3.7,2.1,3,3.6,2,3.1,3.5,2,3,3.4,2.1,3,3.4
10,29/01/11,Arles,Paris SG,A,7,4,1.5,7,4,1.45,6.5,3.75,1.5,5.4,3.7,1.55,6,3.5,1.5,6,3.75,1.5
10,29/01/11,Caen,Auxerre,H,2.4,3,3.2,2.5,2.9,3,2.4,3,3,2.5,3,2.7,2.38,3,2.75,2.4,3,2.85
10,29/01/11,Lille,Lens,H,1.36,4.5,9,1.35,4.6,8.25,1.35,4.5,8,1.37,3.9,7,1.33,4.33,7,1.35,4.33,7.5
10,29/01/11,Lorient,Brest,H,1.91,3.25,4.33,2,3,4.1,1.95,3.1,4,1.9,3.2,3.8,1.91,3.1,3.6,1.9,3.1,4
10,29/01/11,Sochaux,Rennes,H,2.4,3,3.2,2.45,2.95,3,2.4,3,3,2.5,3,2.7,2.38,3,2.75,2.35,3,2.9
10,29/01/11,St Etienne,Toulouse,H,2.2,3,3.6,2.15,2.95,3.6,2.15,3,3.5,2.1,3.15,3.25,2.1,3,3.2,2.1,3,3.4
10,29/01/11,Valenciennes,Lyon,H,3.75,3.1,2.1,3.7,3,2.1,3.5,3.1,2.1,3.4,3.2,2,3.2,3.2,2,3.4,3,2.1
10,30/01/11,Bordeaux,Nice,H,1.67,3.5,5.5,1.62,3.4,6,1.65,3.5,5,1.6,3.5,5.2,1.62,3.3,5,1.6,3.5,5.25
10,30/01/11,Monaco,Marseille,D,3.6,3,2.2,3.7,3,2.1,3.5,3,2.15,3.2,3.2,2.1,3.2,3,2.1,3.4,3,2.1
10,30/01/11,Nancy,Montpellier,A,2.25,3.1,3.4,2.3,2.95,3.3,2.2,3,3.3,2.3,3,3,2.2,3,3,2.2,3,3.2
10,5/2/2011,Brest,Nancy,H,2.1,3.25,3.5,2.15,3,3.6,2.1,3,3.6,2.1,3,3.4,2,3,3.4,2.1,3.1,3.3
10,5/2/2011,Caen,Lorient,A,2.3,3.1,3.25,2.25,2.95,3.4,2.3,3,3.1,2.1,3.1,3.3,2.25,2.88,3,2.3,3,3
10,5/2/2011,Lens,Valenciennes,D,2.1,3.25,3.5,2.05,3.2,3.6,2.1,3,3.6,2,3.1,3.5,2,3,3.5,2.1,3,3.4
10,5/2/2011,Marseille,Arles,H,1.2,6.5,13,1.18,6.5,12.5,1.17,6,15,1.2,5.5,12,1.14,6,13,1.15,6.5,13
10,5/2/2011,Montpellier,St Etienne,A,2.1,3.25,3.5,2.1,3,3.7,2.1,3,3.6,2.1,3.2,3.2,2,3,3.4,2.1,3,3.4
10,5/2/2011,Nice,Sochaux,H,2.2,3.1,3.4,2.25,3,3.3,2.2,3,3.3,2.25,3,3.1,2.1,3,3.2,2.2,3,3.2
10,5/2/2011,Rennes,Paris SG,H,2.5,3.1,2.9,2.5,3,2.85,2.4,3.1,2.85,2.4,3.1,2.8,2.38,2.88,2.8,2.35,3,2.9
10,6/2/2011,Auxerre,Lille,D,3.5,3.25,2.1,3.75,3.2,2,3.3,3.2,2.1,3.1,3.1,2.2,3.4,3,2,3.4,3.1,2.05
