Year,HomeTeam,AwayTeam,FTR,1H,1D,1A,2H,2D,2A,3H,3D,3A,4H,4D,4A,5H,5D,5A,6H,6D,6A
14,Reims,Paris SG,D,9.5,4.5,1.36,8,4.33,1.4,7.5,4.3,1.4,9,4.5,1.36,10.88,4.97,1.37,9,4.5,1.36
14,Bastia,Marseille,D,3.9,3.1,2.05,3.8,3.2,2.15,3.45,3.15,2.1,3.5,3.3,2.1,3.98,3.34,2.11,3.5,3.3,2.1
14,Evian Thonon Gaillard,Caen,A,2.38,3.2,3,2.5,3.2,3.1,2.3,3.1,3.1,2.3,3.1,3.2,2.44,3.28,3.22,2.4,3.1,3.1
14,Guingamp,St Etienne,A,3.3,3.1,2.3,3.2,3.1,2.5,2.9,3.15,2.4,3.3,3.2,2.2,3.45,3.12,2.41,3.1,3.1,2.4
14,Lille,Metz,D,1.5,4.1,6.5,1.57,4.1,6.25,1.45,4,7,1.44,4.2,7.5,1.53,4.13,7.65,1.53,3.75,7
14,Montpellier,Bordeaux,A,2.3,3.1,3.2,2.5,2.95,3,2.3,3.1,3.1,2.3,3.1,3.2,2.53,3.08,3.29,2.5,3,3
14,Nantes,Lens,H,2,3.25,3.9,2.05,3.2,3.75,2,3.2,3.75,2,3.25,4,2.04,3.28,4.36,2.05,3.1,4
14,Nice,Toulouse,H,2.63,3.1,2.75,2.85,2.9,2.9,2.5,3.1,2.8,2.5,3,3,2.85,3.09,2.85,2.8,2.9,2.8
14,Lyon,Rennes,H,1.8,3.4,4.75,1.85,3.25,4.5,1.8,3.4,4.35,1.8,3.4,4.75,1.85,3.52,4.95,1.83,3.3,4.5
14,Monaco,Lorient,A,1.4,4.33,8.5,1.4,4.33,8,1.4,4.3,7.5,1.4,4.5,7.5,1.42,4.7,9.4,1.4,4,10
14,Caen,Lille,A,3.6,3.1,2.15,3.5,3.1,2.15,2.9,3.15,2.4,3.6,3.2,2.1,3.72,3.21,2.25,3.6,3.2,2.15
14,Lens,Guingamp,A,2.88,3,2.63,2.9,3,2.8,2.3,3.1,3.1,2.7,3.1,2.7,2.89,3.1,2.8,2.7,3.1,2.7
14,Lorient,Nice,D,1.75,3.4,5,1.83,3.4,5,1.9,3.35,3.9,1.8,3.25,5,1.78,3.55,5.48,1.83,3.2,5
14,Metz,Nantes,D,2.38,3,3.2,2.5,3.1,3.2,2.3,3.15,3.05,2.4,3.1,3.1,2.4,3.14,3.46,2.4,3.1,3.1
14,Paris SG,Bastia,H,1.13,8,19,1.17,7.25,19.5,1.2,5.8,13,1.14,7.5,17,1.15,9,21.5,1.14,7,21
14,Rennes,Evian Thonon Gaillard,H,1.73,3.5,5,1.8,3.2,5,1.75,3.4,4.65,1.8,3.4,4.75,1.79,3.58,5.22,1.8,3.25,5
14,Toulouse,Lyon,H,2.5,3.25,2.8,2.55,3,2.9,2.6,3.2,2.6,2.55,3.2,2.75,2.51,3.27,3.13,2.6,3.1,2.8
14,Bordeaux,Monaco,H,2.8,3.2,2.55,2.8,3.1,2.55,2.75,3.15,2.5,2.87,3.2,2.5,3.02,3.22,2.61,2.8,3.1,2.6
14,Marseille,Montpellier,A,1.55,3.75,6.5,1.65,3.6,6.25,1.65,3.5,5.3,1.61,3.6,6,1.59,3.98,6.9,1.62,3.6,6
14,St Etienne,Reims,H,1.5,3.75,7.5,1.57,3.75,7.25,1.6,3.6,5.6,1.57,3.75,6,1.52,4.2,7.9,1.53,3.75,7
14,Evian Thonon Gaillard,Paris SG,D,9,4.6,1.36,9,4.75,1.4,7.5,4.6,1.37,9,4.5,1.36,10.3,5.12,1.37,9,5,1.33
14,Bastia,Toulouse,H,2.9,3.1,2.5,2.75,3.3,2.7,2.6,3.2,2.6,2.87,3.1,2.55,2.84,3.35,2.68,2.7,3.1,2.7
14,Guingamp,Marseille,A,2.9,3.1,2.5,3,3,2.65,3.3,3.1,2.2,3.2,3.2,2.25,3.03,3.2,2.61,2.8,3.1,2.62
14,Lille,Lorient,H,1.75,3.4,5,1.83,3.4,5,1.8,3.4,4.35,1.7,3.5,5.25,1.79,3.55,5.44,1.8,3.25,5
