Year,HomeTeam,AwayTeam,FTR,1H,1D,1A,2H,2D,2A,3H,3D,3A,4H,4D,4A,5H,5D,5A,6H,6D,6A
15,Lille,Paris SG,A,6.5,3.6,1.57,6.75,3.75,1.65,4.65,3.4,1.75,6,3.5,1.67,6.64,3.78,1.65,6,3.6,1.62
15,Bastia,Rennes,H,2.6,3.1,2.8,2.6,2.9,2.9,2.3,3.1,3.1,2.5,2.88,2.88,2.71,3.09,3,2.6,2.9,3
15,Marseille,Caen,A,1.57,4,6,1.55,4.33,6,1.55,3.7,6,1.5,3.8,5.75,1.56,4.35,6.59,1.57,4,5.5
15,Montpellier,Angers,A,1.83,3.4,4.75,1.75,3.2,5.25,1.8,3.4,4.35,1.75,3.1,4.75,1.81,3.44,5.53,1.75,3.3,5.5
15,Nantes,Guingamp,H,2.2,3.1,3.6,2.2,3,3.5,2.1,3.15,3.45,2.1,2.9,3.6,2.2,3.11,4.01,2.25,3.1,3.4
15,Nice,Monaco,A,4,3.1,2.05,3.9,3.25,2.1,3.1,3.1,2.3,3.6,3.1,2,4.14,3.38,2.05,4,3.1,2.05
15,Troyes,Ajaccio GFCO,D,2.05,3.2,3.75,2.05,3.25,3.6,2.1,3.15,3.45,2,2.9,3.8,2.03,3.26,4.43,2.1,3.1,3.8
15,Bordeaux,Reims,A,1.67,3.75,5.5,1.7,3.6,5,1.7,3.5,4.85,1.62,3.5,5.25,1.69,3.85,5.8,1.73,3.6,5
15,Lyon,Lorient,D,1.57,4,6,1.57,4,6.5,1.5,3.9,6.3,1.53,3.8,6,1.57,4.16,6.67,1.6,4,5.5
15,Toulouse,St Etienne,H,3.1,3.1,2.4,2.75,3.1,2.6,2.6,3.2,2.6,2.9,2.9,2.4,3.12,3.12,2.6,3,3.1,2.45
15,Monaco,Lille,D,1.62,3.6,6.5,1.62,3.7,6.5,1.7,3.5,4.85,1.6,3.6,7,1.63,3.8,7,1.6,3.6,6
15,Angers,Nantes,D,2.5,3.1,3.1,2.6,3,2.85,2.3,3.1,3.1,2.5,3,3,2.55,3.03,3.3,2.6,3,2.9
15,Caen,Toulouse,H,2.2,3.4,3.25,2.35,3.2,3,2.3,3.1,3.1,2.25,3.2,3.3,2.32,3.34,3.39,2.4,3.1,3.1
15,Guingamp,Lyon,A,3.6,3.25,2.15,3.7,3.4,2.2,3.1,3.1,2.3,3.6,3.25,2.1,3.78,3.33,2.17,3.4,3.1,2.25
15,Rennes,Montpellier,H,2.25,3.1,3.5,2.25,3.2,3.2,2.1,3.15,3.45,2.25,3.1,3.5,2.27,3.17,3.73,2.3,3,3.4
15,St Etienne,Bordeaux,D,1.95,3.4,4.2,2,3.3,3.7,1.9,3.3,4,2,3.2,4,2.01,3.3,4.45,2,3.2,4
15,Troyes,Nice,D,2.15,3.25,3.6,2.2,3.1,3.4,2.3,3.1,3.1,2.15,3.2,3.6,2.11,3.32,3.94,2.2,3.1,3.5
15,Lorient,Bastia,D,1.85,3.4,4.75,1.91,3.3,4.1,2,3.2,3.75,1.8,3.1,4.5,1.86,3.39,5.18,1.91,3.5,4
15,Paris SG,Ajaccio GFCO,H,1.11,10,21,1.11,10,26,1.15,7,15,1.11,8.5,23,1.13,10,27.7,1.11,8,26
15,Reims,Marseille,H,3.5,3.25,2.2,3.2,3.2,2.25,3.45,3.15,2.1,3.3,3.25,2.2,3.44,3.48,2.24,3.4,3.1,2.25
15,Montpellier,Paris SG,A,8,4.2,1.45,8.5,4.2,1.5,6.3,3.9,1.5,8,4.2,1.45,9.1,4.4,1.46,7,4,1.5
15,Ajaccio GFCO,Angers,A,2.3,3,3.6,2.3,2.9,3.4,2.2,3.1,3.3,2.2,2.8,3.5,2.31,3.04,3.8,2.3,2.9,3.6
