Year,HomeTeam,AwayTeam,FTR,1H,1D,1A,2H,2D,2A,3H,3D,3A,4H,4D,4A,5H,5D,5A,6H,6D,6A
9,Auxerre,Sochaux,A,2,3,4.33,2,3.2,3.45,1.95,3.1,4,1.9,3.2,4.1,1.91,3,3.75,2,3.1,3.6
9,Grenoble,Marseille,A,4.75,3.1,1.91,4.75,3.25,1.7,4,3.1,1.95,4,3.25,1.9,3.75,3,1.91,4,3.1,1.9
9,Le Mans,Lyon,D,3.75,3.1,2.1,3.8,3,2,3.5,3.1,2.1,3.45,3.2,2.1,3.5,3,2,3.75,3,2
9,Monaco,Toulouse,H,2.3,3,3.4,2.2,2.9,3.3,2.3,3,3.1,2.2,3,3.4,2.2,2.8,3.2,2.25,3,3.1
9,Montpellier,Paris SG,D,3.5,3,2.25,3.25,2.95,2.2,3.1,3,2.3,3.2,3,2.3,3,2.9,2.25,3,3,2.3
9,Rennes,Boulogne,H,1.53,3.6,7.5,1.5,3.4,7,1.53,3.6,6.5,1.5,3.8,6.7,1.5,3.5,6,1.5,3.6,6.5
9,St Etienne,Nice,A,1.91,3.2,4.33,1.9,3.2,3.8,1.9,3.1,4.2,1.9,3.2,4.1,1.91,3,3.75,1.9,3.1,4
9,Valenciennes,Nancy,A,2.2,2.9,3.75,2.2,2.9,3.3,2.25,2.9,3.3,2.2,3.1,3.3,2.25,2.9,3,2.1,3,3.4
9,Bordeaux,Lens,H,1.5,3.5,7,1.45,3.75,6.8,1.5,3.6,7,1.55,3.7,6,1.5,3.5,6,1.45,3.75,7
9,Lille,Lorient,A,1.67,3.3,5.5,1.75,3.3,4.35,1.72,3.25,5,1.65,3.4,5.5,1.73,3.1,4.5,1.7,3.3,4.75
9,Lens,Auxerre,H,2.15,3,3.8,2.15,3,3.25,2.25,3,3.2,2.1,3.1,3.6,2.2,2.8,3.2,2.25,3,3.1
9,Lorient,Montpellier,D,1.91,3.25,4.33,1.8,3.15,4.4,1.9,3.1,4.2,1.9,3.2,4,1.8,3.2,4,1.85,3.2,4
9,Lyon,Valenciennes,H,1.33,4.5,12,1.25,5,10,1.3,4.75,9,1.3,4.8,9.5,1.22,5,10,1.25,4.75,11
9,Nancy,Monaco,H,2.25,3,3.5,2.2,2.95,3.25,2.2,3,3.3,2.2,3,3.4,2.2,2.8,3.2,2.25,3.1,3
9,Paris SG,Le Mans,H,1.62,3.6,6,1.6,3.4,5.5,1.6,3.5,5.5,1.55,3.5,6.6,1.57,3.25,5.5,1.6,3.4,5.5
9,Sochaux,Bordeaux,A,4,3.25,2,4.1,3.3,1.8,4,3.1,1.95,3.6,3.1,2.1,3.6,3.1,1.91,3.6,3.1,2
9,Toulouse,St Etienne,H,1.91,3.3,4.2,1.9,3.1,4,1.9,3.1,4.2,1.9,3.15,4.1,1.91,3.1,3.6,1.9,3.1,4
9,Boulogne,Grenoble,H,2.38,3,3.25,2.45,2.95,2.8,2.4,2.9,3,2.3,3,3.2,2.38,2.75,3,2.4,2.9,2.95
9,Marseille,Lille,H,1.73,3.5,5,1.65,3.5,4.75,1.67,3.4,5,1.6,3.5,5.9,1.62,3.1,5.5,1.65,3.4,5
9,Nice,Rennes,D,2.5,2.9,3.1,2.35,2.95,2.95,2.5,3,2.8,2.3,3,3.2,2.25,2.9,3,2.4,2.9,2.95
9,Auxerre,Lyon,A,4,3.2,2,3.7,3.3,1.9,3.6,3.2,2,4.1,3.2,1.9,4,3.2,1.8,3.6,3.1,2
9,Le Mans,Nancy,H,2.35,3,3.3,2.25,3,3.1,2.3,3,3.1,2.25,3.1,3.15,2.2,3,3,2.2,3,3.2
9,Monaco,Lorient,H,2.1,3,4,1.9,3.1,3.95,2,3.1,3.75,1.9,3.3,3.9,1.91,3,3.75,2,3.1,3.6
9,Montpellier,Sochaux,H,2.3,3,3.4,2.25,3,3.1,2.3,3,3.1,2.4,3,3.05,2.2,2.8,3.2,2.3,2.9,3.1
9,Rennes,Marseille,D,3,3,2.5,3,3.1,2.25,3,3,2.35,3.05,3,2.4,2.8,2.88,2.38,2.9,3,2.35
