Sl,Year,Position,Team
177,2017-2018,17,Lille
178,2017-2018,18,Toulouse
179,2017-2018,19,Troyes
180,2017-2018,20,Metz
181,2018-2019,1,Paris Saint-Germain
182,2018-2019,2,Lille
183,2018-2019,3,Lyon
184,2018-2019,4,Saint-Étienne
185,2018-2019,5,Marseille 
186,2018-2019,6,Montpellier
187,2018-2019,7,Nice
188,2018-2019,8,Reims
189,2018-2019,9,Nîmes
190,2018-2019,10,Rennes
191,2018-2019,11,Strasbourg
192,2018-2019,12,Nantes
193,2018-2019,13,Angers
194,2018-2019,14,Bordeaux
195,2018-2019,15,Amiens
196,2018-2019,16,Toulouse
197,2018-2019,17,Monaco
198,2018-2019,18,Dijon
199,2018-2019,19,Caen
200,2018-2019,20,Guingamp
